,"mcounts with qtag, gtag and mcount","reads with no qtag, barcode or mcount",reads with only barcode,reads with only mcount,reads with only no gtag,reads with only no mcount,reads with only no qtag,reads with only qtag,"reads with qtag, gtag and mcount",total reads
NH001,80949,0,0,0,739,3169,0,120,104095,108123
NH002,86511,0,0,0,669,2954,0,98,98382,102103
NH003,77589,0,0,0,632,2406,0,95,83592,86725
NH004,89437,0,0,0,707,2832,0,126,95681,99346
NH005,109737,0,0,0,806,3388,0,152,117360,121706
NH006,109785,0,0,0,843,3536,0,177,115582,120138
NH007,95910,0,0,0,714,2832,0,136,99640,103322
NH008,78819,0,0,0,594,2431,0,105,81109,84239
NH009,115327,0,0,0,928,3584,0,137,119670,124319
NH010,120421,0,0,0,901,3739,0,133,124927,129700
NH025,108419,0,0,0,3032,3187,0,196,110247,116662
NH075,104832,0,0,0,3369,3205,0,224,105331,112129
NH096,113121,0,0,0,2465,3491,0,239,113742,119937
NH120,127077,0,0,0,3843,3884,0,327,127587,135641
NH125,107084,0,0,0,2847,3288,0,240,107565,113940
NH144,133065,0,0,0,4785,4176,0,298,133601,142860
